id,verse_text,label
737,"dearest, why should i mourn, whimper, and whine, i that have yet to live?",3
738,"in every health we drink, my boys,",2
739,but your dead-ripe ones ranges high fer treatin' nothun bretherin;,0
740,"where holds the soul communion with its god,",2
741,so runs the perfect cycle of the year.,1
742,"the limpid ocean mirrors all the stars,",1
743,ashes and jet all hues outshine.,1
744,many changes have been run,2
745,as childhood's sweet delight.,1
746,"""it is a lie, a damned, infernal lie!""",0
747,bred onely and completed to the taste,2
748,and after that the winter cold and drear.,0
749,"thus hee in scorn. the warlike angel mov'd,",0
750,what flecks the outer gray beyond,2
751,"""does he mean himself, i wonder?",2
752,"lull’d in her lap, amidst a train of loves,",1
753,come up like ocean murmurs. but the scene,2
754,and in a pleasing slumber seals his eyes:,1
755,sweet poesy from heaven,1
756,"o, i can ne'er forget",2
757,"the leprous corpse, touched by this spirit tender,",3
758,"ambrosial odours and ambrosial flowers,",2
759,his sweeter voice a just accordance kept.,1
760,"false-faces hung on strings,",0
761,that in their lives such deadly fray they ne'er had seen before.,0
762,her not-nice load.,0
763,"unhitched the breeching from a shaft,",2
764,tis that one told us it was life. 'for not,2
765,who fishes in the frog-pond still?,2
766,"""as the gods would i see,"" said sigurd, ""though death light up the land.""",3
767,"which leans over to the lane,",2
768,"you hardly know when you are coming back,",2
769,"but the great spirit plants it in our hearts,",2
770,"nor is he, as some sages swear,",2
771,"of his faint steed; the latter, as he stretch’d",2
772,"i strive, i pray.",1
773,who god possesseth,2
774,"these often bathed she in her fluxive eyes,",2
775,"that you or yours, having an appetite,",2
776,"the loveliest king of the king-folk, the man of sweetest speech,",1
777,"and fears are added, and avenging flame.",0
778,who felt your own thought worthy of record,1
779,"and then, if it should be",2
780,"ez though i wanted to enlist 'em,",2
781,"behind the sea-wall's rugged length,",2
782,how they will tell the shipwreck,2
783,tis gone past recalling!,2
784,"and stiff in fight, but serious drill's despair,",0
785,one lucent foot's delaying tip,2
786,at his approaching footsteps.  winter came,2
787,till the deaf fury comes your house to sweep!',0
788,henceforth to labor's chivalry,2
789,i'll be ther in a minit.,2
790,"but now i see, most cruell hee,",0
791,our lives and safeties all;,2
792,that little barley-cake you keep from him,2
793,our wavering apparitions pass,2
794,"and ye who attend her imperial car,",2
795,"on the clear mirror of a loving heart,",1
796,"how weak this tinkling line,",0
797,for that’s his specialty. what creature else,2
798,her thoughts are like the lotus,2
799,"thou wovest dreams of joy and fear,",3
800,"that, following this slight trace,",2
801,but now for me than you—the other way.,2
802,who wrote this modest version i suppose,2
803,--the drones of the community; they feed,2
804,the echoing sounds grow fainter and then cease;,2
805,and make the liveliest monkey melancholy.,0
806,"and, between the river flowing and the fair green trees a-growing,",1
807,"you'll not want business, for we need a lot",2
808,"still, upon a flower,",2
809,"god prosper long our noble king,",1
810,"where the moloch of slavery sitteth on high,",0
811,"leave the garden walls, where blow",2
812,it's a pretty early start.,2
813,"he takes you from your easy-chair,",2
814,accept the gift which i have wrought,2
815,long-drawn bill of wine and beer,2
816,"a crow dot sat a-squawkin', ""i's a mockin'-bird.""",2
817,"a day's experunce 'd prove to ye, ez easy 'z pull a trigger.",2
818,"euryalus stood list’ning while he spoke,",2
819,"moonstruck with love, and this still thames had heard",1
820,"yea, all the world it might be, and all sounds of the earth were stilled",2
821,as hebe's foot bore nectar round,2
822,"till, fur 'z i know, there aint an inch thet i could lay my han' on,",2
823,she listening sate.,2
824,"from alton bay to sandwich dome,",2
825,even now eclipses the descending moon!--,2
826,"some thought of me, a last fond prayer",1
827,ode read at the one hundredth anniversary of the fight at concord bridge,2
828,for wanderings sad and lone.,0
829,and my white cottage--plain.,2
830,"""onaway! my heart sings to thee,",1
831,"begins, but endeth nevermore;",2
832,"that throng our pilgrimage. its sympathy,",2
833,"valentines, paper and tinsel,",2
834,when lips and heart refuse to part again,2
835,waiting the flutter of his homemade fly;,2
836,"whereto we claim sole title by our toil,",2
837,"our hope, our remembrance, our trust,",1
838,that _she_ should walk beside him on the rocks,2
839,"far out, in peace, the white man's sail",2
840,"of the bivouac fire apart,",2
841,"such civil war is in my love and hate,",3
842,none will forget it till shall fall the deadly dart!,0
843,that antwerp monks may sing a mass for thy poor spearmen's souls.,2
844,"""sir, i have dreamed of you. i pray you, sir,",2
845,the message is not like what i have learned,2
846,the beacon-light that forth they held,2
847,"as george commands, let him be wrong or right,",2
848,"luck obeys the downright striker; from the hollow core,",2
849,"forever quivering o'er his task,",0
850,"radiant as moses from the mount, he stood",1
851,wilt thou our lowly beds with tears of pity lave?',0
852,and seek the danger i was forc’d to shun.,0
853,"where your hair from your forehead swerves,",2
854,"down the dark future, through long generations,",0
855,but she always ran away and left,0
856,with such vehement force and might,0
857,"yet both in different colours hide their art,",2
858,"his regal seat, surrounded by his friends.",1
859,"thinks i, the down lies dreaming",2
860,vain cries--throughout the streets thousands pursued,0
861,"and all their echoes, mourn;",0
862,"and what then doth he gather? if we know,",2
863,"through the salt sea foam,",2
864,does beauty slight you from her gay abodes?,3
865,yet was this period my time of joy:,1
866,"from the fair brow; she, rising, only said,",2
867,"still must mine, though bleeding, beat;",0
868,his silent sandals swept the mossy green;,2
869,"nightly down the river going,",2
870,their first-born brother as a god.,1
871,"but half the secret told,",2
872,and like the others does not slip,2
873,bedaubed with iridescent dirt.,2
874,"in town, an' not the leanest runt",0
875,"so thick, she cannot see her lover hiding,",2
876,and so i should be loved and mourned to-night.,3
877,"and _channing_, with his bland, superior look,",3
878,the head that lay against your knees,2
879,"is shorter than a snake's delay,",2
880,"sooner, augustine, sooner far, shall i",2
881,in every health we drink.,2
882,the end of the play.,2
883,"by death's frequented ways,",0
884,"how your soft opera-music changed, and the drum and fife were heard in their stead;",3
885,rejection of his humanness,0
886,"to sunset they would sip of the tea, drink of the beer, and eat of the",2
887,to his ears there came a murmur of far seas beneath the wind,2
888,"the one good man in the world who knows me, --",1
889,faint voices lifted shrill with pain,0
890,"an', fust you knowed on, back come charles the second;",2
891,in the wild glens rough shepherds will deplore,0
