verse_text,label
and all the honors that he sought to leave,2
"harsh, featureless, and rude, barrenly perish:",0
her thoughts are like the lotus,2
"""a quick consumption, that no art could cure!",2
"dey kin talk from hyeah to yandah,",2
with the freedom of lakes and lands.,1
"a man may see the moon so, in a pond,",2
"how over, though, for even me who knew",2
with sharp turns weaving,2
"i feel the road unroll,",2
which 'mongst the wanton gods a foul reproach was held.,0
"still must mine, though bleeding, beat;",0
"when, dreadful to behold, from sea we spied",0
"still sigurd rides with the brethren, as oft in the other days,",2
"overleaning, with flickering meaning and sign,",2
"and the tree trembled, and the shouting cries",0
"""i mean estelle has always held the purse.""",2
"well, i guess i looked at that hand",2
down deep in the ground a box of gold.,2
like pageantry of mist on an autumnal stream.,2
"want and woe, which torture us,",0
a million torches lighted by thy hand,1
of bright and dark obscurity;,3
"forever quivering o'er his task,",0
look down the shining peaks of all my days,1
"of your strong and pliant branches,",1
"i look up from this page of thine,",2
"sometimes towards heav'n and the full-blazing sun,",1
"but now i see, most cruell hee,",0
o sun-hint that hath overspread,2
shall dwell in the house of my fathers and the land of the people's praise;,1
"behind the heads of children) compliments,",2
so that ye for them are made,2
"as they were loosened by that hermit old,",2
"but i, or any demmercrat, feels comf'table to stan' on,",2
(if haply the dark will of fate,0
"and, waking, find it vision,--none the less",2
"a different man was brother timothy,",2
"among the sources of thy glorious streams,",1
and yet perhaps you had been startled less,2
"but when i read of the brotherhood of lovers, how it was with them;",2
who fishes in the frog-pond still?,2
i envy the farmer's boy,2
"then along the river strand,",2
our wavering apparitions pass,2
when blighting was nearest.,0
"and i turned away to thee,",2
"these often bathed she in her fluxive eyes,",2
from her stately place on high.,1
"of long-uncoupled bed, and childless eld,",2
"no angry bolt, but harmless flame.",3
"of sainthood in purple the pattern and pick,",2
"and if my bubbles be too small for you,",2
and very venus of a pipe.,2
"where the cloudy hangings waver and the flickering shadows fall,",0
abominations; and with cursed things,0
"a hundred years, and fifty more, had spread their leaves and snows,",2
and friendship's tenderest sympathy,1
"who stood in expectation by,",2
"""what hope wouldst thou hope, o sigurd, ere we kiss, we twain, and depart?""",3
